project,path,presence_condition,one_enabled,one_disabled,most_enabled_disabled,pair_wise
linux,drivers/infiniband/hw/ocrdma/ocrdma_main.c,IS_ENABLEDCONFIG_IPV6 && !IS_ENABLEDCONFIG_VLAN_8021Q,1,1,0,1
linux,arch/arm/mach-omap2/board-generic.c,MACH_OMAP_H4 && !ARCH_OMAP2420,1,1,0,1
linux,net/core/netpoll.c,NETPOLL && !IS_ENABLEDCONFIG_IPV6,1,1,0,1
linux,arch/s390/crypto/prng.c,S390 && S390_PRNG,0,0,1,1
linux,drivers/net/3c59x.c,VORTEX_DEBUG && !CONFIG_PCI,1,1,0,1
linux,arch/x86/pci/common.c,__i386__ && CONFIG_NUMA && CONFIG_PCI_BIOS,0,1,1,1
linux,arch/parisc/mm/init.c,CONFIG_PARISC_PAGE_SIZE_4KB && CONFIG_DISCONTIGMEM && PROC_PAGE_MONITOR,0,1,1,0
linux,kernel/rcutree_plugin.h,CONFIG_TREE_PREEMPT_RCU && CONFIG_RCU_CPU_STALL_INFO && !CONFIG_RCU_FAST_NO_HZ,0,1,0,0
linux,drivers/gpu/drm/i915/i915_dma.c,DRM_I915 && SHMEM && !TMPFS,0,1,0,1
linux,net/sctp/ipv6.c,IP_SCTP && IPV6 && SCTP_DBG_MSG,0,1,1,0
linux,drivers/base/dd.c,I2C && TWL4030_CORE && IRQ_DOMAIN && !OF_IRQ,0,1,0,0
linux,arch/powerpc/kernel/kprobes.c,!CONFIG_PPC64 && KPROBES && !KGDB && !XMON && !BDI_SWITCH,1,0,0,0
linux,init/main.c,CONFIG_DEBUG_SLAB && CONFIG_LOCKDEP && TRACE_IRQFLAGS && PROVE_LOCKING && CONFIG_NUMA,0,1,1,0
linux,mm/slab.c,CONFIG_LOCKDEP && CONFIG_DEBUG_SLAB && !CONFIG_DEBUG_SLAB_LEAK && PPC_256K_PAGES && FORCE_MAX_ZONEORDER,0,1,0,0
lua,src/loadlib_rel.c,!__CYGWIN__ && !_WIN32 && !__linux__ && !__sun && !__FreeBSD__ && !__BSD__ && !__APPLE__,1,0,1,0
totem,src/totem.c,HAVE_GTK_ONLY,1,1,1,1
vim,src/ex_cmds.c,WIN32,1,1,1,1
vim,src/os_unix.c,(FEAT_MOUSE_DEC &&  FEAT_MOUSE_GPM)||(FEAT_MOUSE_JSB && FEAT_MOUSE_PTERM),0,1,1,1
vim,src/memfile.c,!AMIGA && !UNIX && !MSDOS,1,0,1,1
vim,src/netbeans.c,!FEAT_GUI_W32 && !PROTO && !FEAT_GUI_MOTIF && !FEAT_GUI_GTK,1,0,1,1
vim,src/if_mzsch.c, !FEAT_GUI_W32 && !FEAT_GUI_GTK && !FEAT_GUI_MOTIF && !FEAT_GUI_ATHENA && !FEAT_GUI_MAC && FEAT_GUI,1,0,0,0
xfig,w_cmdpanel.c,FIXED_JAPANESE_PDF,1,1,1,1
xterm,main.c,!USE_USG_PTYS && USE_ISPTS_FLAG,1,1,0,1
xterm,main.c,(__GLIBC__ && USE_ISPTS_FLAG)||(__MVS__ && USE_ISPTS_FLAG),0,1,1,1
